,id,month,day,hour,latitude,longitude,sea_surface_temp
8282,19411773,1,12,1.0,38.99,-75.11,6.8
5266,2366171,1,12,1.83,35.62,-34.0,18.4
2163,17394432,1,12,3.0,41.05,-71.96,6.5
5728,14412804,1,12,3.0,19.7,-74.6,26.0
7935,3372249,1,12,3.33,28.29,-138.37,18.9
8941,10408138,1,12,5.17,-50.01,76.7,6.0
8018,14398231,1,12,5.7,15.56,-18.69,22.1
6427,17408851,1,12,7.22,-16.94,-122.14,26.0
5719,1369373,1,12,10.78,24.67,146.99,24.6
12,10386437,1,12,11.0,36.96,-76.43,19.248426150121063
3158,4370596,1,12,11.33,-22.72,70.69,26.4
6417,15395149,1,12,12.0,-22.97,-97.45,23.1
6466,7384181,1,12,13.0,34.1,-43.0,18.7
7343,10392115,1,12,13.0,37.4,-122.9,11.9
5297,2380407,1,12,13.83,19.8,-84.9,26.7
8599,12395045,1,12,14.0,43.3,-124.4,19.248426150121063
8246,1395282,1,12,14.75,28.2,-89.2,19.248426150121063
77,6391404,1,12,15.0,-48.2,129.37,10.4
55,10387385,1,12,15.5,17.07,70.85,26.5
1919,1384487,1,12,16.0,58.28,-24.05,8.2
3102,6387882,1,12,16.0,21.1,-68.3,27.0
3609,3374462,1,12,17.1,24.68,137.19,23.7
1434,3385397,1,12,17.5,27.9,-93.6,21.5
4833,5396656,1,12,18.83,13.28,59.31,26.1
9233,8396519,1,12,19.0,44.78,-27.42,14.0
3875,16388399,1,12,19.17,-44.23,140.56,13.2
2166,13410546,1,12,19.25,27.8,-90.7,19.248426150121063
4882,17417140,1,12,20.0,47.6,-52.7,19.248426150121063
1710,12395158,1,12,23.0,70.4,-148.53,19.248426150121063
9457,14400524,1,12,23.0,-51.02,82.39,6.1
1242,13426433,1,13,1.95,-47.57,-46.16,14.4
260,5416500,1,13,2.0,83.9,-48.3,19.248426150121063
4451,7418698,1,13,2.0,25.73,-80.16,21.4
9861,1410870,1,13,2.83,-18.41,51.87,29.1
7323,6418117,1,13,3.62,42.8,-70.2,7.5
2877,3422262,1,13,4.0,53.33,-28.54,6.6
9832,8437007,1,13,4.83,40.4,-73.7,19.248426150121063
8104,14446439,1,13,6.0,37.23,-76.48,8.2
1935,12440299,1,13,9.83,18.3,-64.8,19.248426150121063
4995,1414661,1,13,10.0,54.14,-173.38,3.0
3454,15424175,1,13,10.35,2.67,119.99,30.6
7924,14438684,1,13,11.0,24.6,-81.1,19.248426150121063
7410,4424537,1,13,12.0,43.5,-41.8,19.248426150121063
6928,2409401,1,13,15.0,-59.85,102.61,0.7
7247,16428766,1,13,15.3,7.33,-166.53,27.5
1335,17427194,1,13,16.95,-52.1,83.43,4.4
3008,5429466,1,13,18.0,39.4,-72.7,13.0
9990,15423212,1,13,18.83,21.57,-51.17,24.8
9331,12438446,1,13,19.0,41.64,-71.34,19.248426150121063
4672,422168,1,13,21.0,-5.08,-95.06,25.5
6420,16445882,1,13,21.95,48.1,-123.4,7.6
6841,18434801,1,13,22.0,28.1,-15.4,19.3
4659,15448979,1,13,23.17,-48.96,81.17,6.3
8985,13460387,1,14,3.17,-51.21,83.13,5.3
6314,18475309,1,14,5.0,34.7,-76.67,10.9
8500,4458952,1,14,5.0,55.33,-131.63,5.5
1273,3437711,1,14,5.4,24.92,-145.79,21.8
4267,5456491,1,14,6.0,41.1,-9.7,19.248426150121063
921,5444036,1,14,8.0,38.6,-34.0,17.7
4331,10442033,1,14,8.0,46.2,-124.1,6.7
4274,17466669,1,14,9.83,58.2,-138.0,19.248426150121063
4382,14472239,1,14,11.33,-38.53,137.88,17.0
2238,14451196,1,14,12.0,-2.3,-7.4,25.5
941,12451791,1,14,12.1,18.21,111.5,23.9
5237,2440011,1,14,12.57,-19.44,-37.27,27.0
8086,10461987,1,14,13.83,-10.85,72.09,19.248426150121063
1253,441076,1,14,14.0,1.99,138.1,30.0
5591,4450061,1,14,14.0,39.0,-123.7,19.248426150121063
242,1449728,1,14,16.17,43.05,169.87,19.248426150121063
4124,14467295,1,14,16.83,40.4,-73.7,19.248426150121063
8310,1447666,1,14,18.0,36.8,-44.2,19.248426150121063
4509,3461983,1,14,18.67,-28.76,91.6,23.3
9307,15474652,1,14,19.0,34.8,125.77,7.2
1399,14471399,1,14,20.0,-44.14,-32.65,12.8
5037,11462523,1,14,20.35,-42.48,-4.59,12.3
9021,19486789,1,14,22.0,51.8,-131.2,7.2
494,8457990,1,14,23.0,33.7,-120.2,13.5
1651,5453109,1,14,23.0,50.9,-129.9,7.7
1664,8461987,1,14,23.0,52.5,-132.7,7.0
1755,6454865,1,14,23.0,18.1,-24.0,22.3
2084,7484572,1,15,0.0,49.1,-2.2,10.4
2227,4498626,1,15,0.0,41.3,-72.1,7.7
1117,13503037,1,15,2.28,27.66,150.27,21.3
311,10499069,1,15,7.0,18.3,-64.8,26.3
8415,16510037,1,15,7.5,-48.74,101.34,7.5
3170,4471414,1,15,11.33,-22.11,-137.11,19.248426150121063
9647,18521979,1,15,12.0,20.02,-37.85,24.5
880,6485972,1,15,12.77,61.53,-31.12,6.8
1081,13493379,1,15,13.5,42.37,-38.51,14.6
9224,11486464,1,15,14.0,38.9,-76.4,5.0
1122,12502264,1,15,14.5,-28.26,-83.89,21.1
7859,7485521,1,15,17.83,31.38,-23.78,20.0
957,11494655,1,15,18.0,59.6,1.5,19.248426150121063
3533,473086,1,15,18.0,35.6,151.7,13.0
2532,3479021,1,15,20.0,25.73,-80.16,20.5
6986,3497848,1,15,21.33,-48.45,79.98,7.1
5131,3467131,1,15,21.75,35.05,-143.82,17.0
148,1475430,1,15,23.0,38.03,-122.13,19.248426150121063
8320,16500732,1,15,23.8,29.36,179.43,21.6
1519,6477170,1,15,23.83,29.53,-48.09,21.9
6969,8524927,1,16,1.0,-41.3,173.3,19.248426150121063
1778,16526444,1,16,2.67,-45.63,-18.43,9.5
4167,8504920,1,16,2.83,32.22,176.63,19.5
4508,14538259,1,16,3.5,37.18,-53.93,19.7
5675,11537177,1,16,3.83,17.0,-81.7,19.248426150121063
8108,5513122,1,16,6.0,37.77,-122.3,10.6
3337,10516657,1,16,6.5,46.98,-4.38,12.6
9712,18529872,1,16,8.27,7.7,164.36,25.7
9298,11540557,1,16,8.97,48.1,-123.0,19.248426150121063
7611,1515405,1,16,9.0,2.02,-179.81,27.7
335,18544569,1,16,10.0,25.8,-93.7,23.2
8560,2522570,1,16,11.0,59.6,2.2,8.1
3582,5531419,1,16,11.83,17.5,-152.4,19.248426150121063
1968,7511567,1,16,12.0,-34.48,78.88,20.5
3667,7510763,1,16,14.5,-38.48,10.51,17.0
4758,4516558,1,16,14.83,-41.97,-83.12,16.0
3192,17545782,1,16,15.0,29.25,-90.66,19.248426150121063
6401,7533781,1,16,16.17,-29.35,2.86,22.5
6719,12519123,1,16,16.33,37.6,-76.3,19.248426150121063
5210,17533037,1,16,16.63,36.12,-144.21,16.4
4906,12512256,1,16,16.67,-51.1,82.64,6.0
8875,14517475,1,16,17.17,43.07,170.09,19.248426150121063
3435,10528157,1,16,18.5,-47.63,-53.4,14.3
886,13515702,1,16,18.67,14.89,-61.11,26.3
8296,12510754,1,16,18.73,-31.18,-133.22,22.9
588,8530756,1,16,19.0,17.5,-152.4,19.248426150121063
9396,15541054,1,16,20.0,19.0,-105.7,19.248426150121063
1108,15540908,1,16,22.27,27.6,-80.2,19.7
9697,19550373,1,16,22.83,23.57,139.21,24.3
9360,10535085,1,16,23.0,44.25,-86.35,19.248426150121063
4359,19577897,1,17,0.0,41.29,-70.1,1.4
983,11564162,1,17,1.0,37.41,-76.71,19.248426150121063
7569,18589680,1,17,1.67,-58.29,75.07,0.4
2148,3536962,1,17,2.93,29.97,-79.76,24.8
1283,5538326,1,17,3.83,-62.95,-110.85,2.9
9171,7542352,1,17,4.0,-8.0,-95.0,24.9
1873,19581754,1,17,5.0,-35.71,58.24,20.8
9111,534208,1,17,5.37,20.68,121.05,25.9
5688,17554953,1,17,5.8,42.15,-21.34,14.7
5284,19581565,1,17,6.47,-24.88,66.25,25.5
9833,6557530,1,17,6.5,27.9,-93.6,21.5
6303,11545934,1,17,8.17,48.72,-3.96,10.2
4518,6562503,1,17,9.0,41.3,8.6,14.6
7667,4546217,1,17,9.02,37.32,-170.46,15.0
686,19564630,1,17,11.83,-59.72,-71.26,4.6
3151,10557604,1,17,12.0,25.73,-80.16,18.9
9530,13573877,1,17,12.0,50.4,0.0,10.4
5457,554872,1,17,12.47,78.12,-124.27,19.248426150121063
7639,13556030,1,17,13.85,43.8,-124.6,8.9
4328,17569254,1,17,14.0,36.95,-76.33,7.1
6296,1537008,1,17,16.25,13.4,144.8,28.3
4779,1542039,1,17,16.33,30.06,-29.15,20.7
9401,10547142,1,17,18.0,40.3,-124.7,10.4
8399,1559513,1,17,19.0,50.7,-127.5,19.248426150121063
8703,1540750,1,17,19.0,61.1,-146.7,19.248426150121063
1641,14552217,1,17,19.83,-48.03,95.59,7.7
4814,1553990,1,17,20.0,59.2,1.5,19.248426150121063
6895,2540687,1,17,20.2,39.02,-64.47,20.3
2774,10563202,1,17,20.33,-50.97,-97.05,8.0
1965,18580168,1,17,21.0,47.27,-122.41,6.0
2492,1538807,1,17,21.0,8.73,167.73,28.7
7612,7538264,1,17,22.0,-40.97,156.95,17.9
994,5534436,1,17,22.5,-49.03,82.65,7.7
3486,18559777,1,17,22.5,-54.65,50.17,2.3
5943,5539506,1,17,22.83,36.47,173.41,16.4
369,2563844,1,18,0.82,5.96,-138.52,26.4
