,id,month,day,hour,latitude,longitude,sea_surface_temp
6701,5591321,3,18,19.0,46.2,-60.2,19.944907407407406
8051,8159409,11,5,4.0,46.2,-60.2,21.216018518518517
5716,17526358,7,16,3.33,38.73,-60.15,26.4
7812,10941182,7,29,10.0,45.02,-60.08,23.010154320987652
4855,10746059,10,23,23.9,36.02,-60.04,24.2
1530,1607432,7,19,23.43,33.77,-60.01,27.0
7128,16005769,3,30,20.17,36.59,-59.98,19.3
6692,3228764,1,7,1.33,-57.15,-59.96,3.2
2311,12793831,6,24,14.83,27.81,-59.92,17.5
2139,4738806,1,23,9.5,36.9,-59.82,18.9
618,11565583,7,17,9.0,45.3,-59.8,15.283333333333331
484,3934510,2,29,6.0,33.7,-59.6,19.1
7396,13646339,7,20,14.0,53.6,-59.6,15.2
2574,2038436,5,2,22.48,36.99,-59.52,17.8
8589,13590198,7,18,17.0,44.9,-59.5,16.95
8379,1537118,7,17,19.98,37.65,-59.44,24.9
2149,18992920,5,30,18.87,38.89,-59.42,23.4
5259,17032056,5,1,10.0,-59.1,-59.41,1.3
5227,8906775,5,28,6.83,27.37,-59.41,24.9
8845,16949614,10,29,17.03,33.05,-59.34,24.5
5451,15140256,11,4,19.83,22.2,-59.26,28.2
6601,5327500,5,10,2.0,48.7,-59.2,23.25
9855,13056691,6,2,16.63,36.42,-59.16,22.9
1779,6472878,3,15,23.33,32.41,-59.1,20.1
974,18362705,3,11,5.17,36.54,-59.1,18.9
2742,3750356,7,23,6.0,47.6,-59.1,22.0
238,9980792,9,30,14.67,29.34,-59.06,27.6
5699,12941172,12,29,8.05,37.5,-58.92,20.5
7294,19170933,12,5,0.83,-62.2,-58.9,21.639999999999997
5604,13294750,3,9,14.0,39.71,-58.89,20.1
8626,14959045,10,29,15.67,-60.0,-58.82,21.05666666666667
2747,2583331,4,18,21.8,37.08,-58.77,18.0
6388,5871384,1,27,5.17,36.03,-58.75,19.8
2598,16105772,5,3,20.83,21.6,-58.7,26.3
6444,8365502,4,11,5.83,21.6,-58.7,25.9
2292,6287792,5,9,20.0,21.7,-58.7,26.3
8849,623433,1,19,23.0,21.7,-58.7,25.3
9619,653538,3,20,13.83,21.7,-58.7,25.5
9264,19398859,7,12,13.42,35.75,-58.69,24.9
9118,8427348,9,13,18.0,45.02,-58.63,17.5
6541,2844029,5,26,21.83,21.6,-58.6,24.880000000000003
6898,18756333,10,23,13.83,21.6,-58.6,28.3
7161,321148,5,10,7.83,21.6,-58.6,18.530000000000005
8870,19715863,6,21,5.0,21.6,-58.6,28.2
4874,16496515,10,15,14.0,51.1,-58.6,5.9
2541,19731800,6,22,19.0,51.2,-58.6,6.4
3620,3719466,3,22,5.17,-58.0,-58.59,13.875
2130,15312933,5,9,4.5,-62.3,-58.46,10.29375
3228,14785763,3,24,20.0,-51.9,-58.4,10.193749999999998
6130,6251236,3,8,15.38,37.57,-58.39,15.0
320,19835471,3,25,17.17,-57.91,-58.3,15.481249999999998
9931,870490,9,27,13.0,56.3,-58.3,5.4
9735,2423435,4,13,9.0,14.62,-58.23,26.9
2801,4171923,7,6,10.6,33.34,-58.23,25.1
130,12612274,1,19,12.5,38.54,-58.11,18.2
6548,4795503,8,25,13.0,59.96,-58.07,9.1
6890,251155,6,8,7.0,13.7,-58.0,27.9
283,10336996,4,10,11.0,43.0,-58.0,4.5
1693,10500812,3,15,11.0,43.0,-58.0,12.0
8022,9644245,3,20,2.3,37.77,-57.89,18.7
5872,3469345,12,15,15.27,29.54,-57.82,23.4
1395,8473737,6,15,21.78,36.11,-57.67,22.5
2780,14545448,12,16,22.0,50.4,-57.6,19.78333333333333
4738,5747863,5,23,19.0,25.66,-57.53,24.8
9403,19043014,8,1,14.43,33.5,-57.53,27.5
1853,1427041,12,13,17.5,-60.15,-57.4,1.8
9501,5464778,9,14,20.83,31.57,-57.34,28.0
861,13303366,11,9,20.33,-56.44,-57.33,3.5
840,8449411,6,14,20.0,47.3,-57.3,12.1
1702,6109176,1,4,8.0,47.3,-57.3,3.3
9731,4204414,6,7,0.0,47.3,-57.3,7.7
7061,13484931,9,15,18.72,32.07,-57.28,28.9
2750,925184,5,29,14.98,41.83,-57.25,20.5
8222,1615453,3,19,20.83,18.99,-57.23,25.7
7079,11968928,10,30,21.0,62.31,-57.23,5.5
6977,17743795,9,22,12.0,58.2,-57.21,7.1
7159,13080797,6,2,13.0,21.3,-57.2,25.9
6891,19400071,6,12,22.93,35.04,-57.16,22.8
8337,9753617,8,23,12.43,40.12,-57.15,27.2
750,12134022,9,4,22.0,44.67,-57.14,18.8
1276,3528210,8,16,20.0,44.2,-57.1,22.3
1361,14538193,9,16,5.0,44.2,-57.1,17.1
3631,8175525,8,5,9.0,44.2,-57.1,19.8
3976,9896090,9,27,18.0,44.2,-57.1,18.2
5993,11244176,7,7,23.0,44.2,-57.1,15.1
6848,13825506,1,25,23.0,44.2,-57.1,3.0
7206,15052230,2,1,20.0,44.2,-57.1,5.1
8406,2723300,4,22,19.0,44.2,-57.1,5.0
9196,13141219,8,4,5.0,44.2,-57.1,19.6
9411,12429457,8,13,23.0,44.2,-57.1,21.8
6540,14990993,9,30,0.0,55.0,-57.1,18.94
9393,9145167,10,5,17.08,19.6,-57.06,29.0
4724,7574528,7,18,23.0,45.2,-57.0,17.323333333333334
3877,14814929,2,25,23.33,36.62,-56.99,19.3
7162,18250943,12,7,16.0,56.91,-56.9,3.8
6669,19597432,6,18,16.0,43.65,-56.83,11.1
8463,5668093,11,21,13.83,10.4,-56.7,13.716666666666667
6075,10883478,8,27,4.33,40.88,-56.7,27.2
5615,15926403,6,28,18.0,44.67,-56.66,13.3
3844,16062379,10,2,20.0,57.41,-56.61,7.6
9487,8693833,7,21,17.0,16.9,-56.5,21.666666666666668
2279,6113608,8,4,1.47,32.93,-56.47,27.5
8105,6041422,8,2,12.67,32.97,-56.4,27.3
5662,14035010,8,1,1.5,33.7,-56.31,27.1
3697,19204792,3,6,22.4,-48.12,-56.23,11.1
4691,10959218,1,29,8.0,14.6,-56.2,26.0
5973,17333761,12,10,11.0,14.6,-56.2,27.4
7906,1695807,2,22,5.67,46.7,-56.18,1.2
2920,12812965,10,25,18.55,40.3,-56.15,23.9
7645,11184815,10,6,9.83,12.3,-56.1,22.5
4150,17948967,9,29,5.93,32.04,-56.09,27.1
8344,1407444,8,13,12.08,33.26,-56.06,27.7
2929,7569607,8,18,23.15,34.68,-55.96,27.7
2585,17927255,12,28,1.17,24.73,-55.93,25.0
8369,14696120,9,21,19.0,61.92,-55.85,6.7
4781,442173,12,14,14.67,29.59,-55.81,19.183333333333334
7916,14096039,11,3,1.83,34.37,-55.8,24.2
7118,715779,2,22,21.0,44.3,-55.8,7.0
9687,12775868,5,24,21.55,40.46,-55.72,24.5
426,7670337,2,21,16.15,23.7,-55.66,24.2
365,5018391,2,1,6.33,35.31,-55.6,19.3
8030,3573692,12,18,1.67,29.26,-55.59,21.1
5659,9185056,9,6,20.52,33.84,-55.58,28.4
3531,12517318,2,16,21.83,-58.77,-55.57,3.0
9900,8870339,8,27,23.33,41.05,-55.55,27.2
2835,4642655,10,20,19.0,61.99,-55.49,6.3
2110,3829940,7,26,15.67,33.66,-55.48,25.8
7506,18636404,9,19,22.27,20.99,-55.44,29.2
3044,6631560,12,19,7.0,14.55,-55.43,27.9
5168,16627295,5,19,17.42,30.75,-55.42,22.2
3324,9648640,3,20,19.9,30.44,-55.41,20.6
2384,8348787,2,11,2.17,36.9,-55.41,18.9
9227,3598162,6,19,22.0,31.08,-55.4,24.6
9628,13374819,5,11,8.83,-57.91,-55.38,1.6
1764,2521578,12,16,11.0,14.71,-55.28,28.0
7255,11016203,2,1,8.5,27.59,-55.23,23.1
6847,5216226,3,7,13.67,30.61,-55.22,20.7
4725,12569790,3,17,18.0,-35.1,-55.2,22.119999999999997
3049,19215781,3,6,11.0,46.6,-55.2,21.836666666666662
2066,10635343,1,19,2.5,37.78,-55.13,19.5
5114,8061862,3,2,14.2,32.76,-54.96,19.3
2473,13857733,4,26,11.17,18.02,-54.88,26.3
6278,10181313,9,6,20.57,66.95,-54.8,6.7
3315,11214098,5,7,0.83,-57.09,-54.66,2.2
7389,10347691,2,11,1.93,23.67,-54.64,24.2
5926,14132809,10,4,20.97,36.77,-54.61,25.3
4747,3946791,11,29,2.0,44.0,-54.61,12.9
1453,4044928,10,2,21.67,35.63,-54.58,25.5
9766,9672912,7,21,17.0,51.9,-54.5,7.7
7714,7813797,10,25,2.0,-59.55,-54.49,20.14
5987,1206689,8,7,6.82,36.67,-54.49,27.4
3368,18893448,10,27,21.5,-57.43,-54.48,17.728
6896,10094150,12,3,1.0,22.6,-54.4,27.2
8536,551645,5,17,11.0,49.5,-54.3,20.521333333333335
7672,15320075,9,10,9.4,66.94,-54.29,6.2
6689,43657,11,2,18.78,38.65,-54.21,23.2
7871,19367932,6,11,12.05,33.85,-54.15,21.4
125,5177857,12,6,8.0,14.76,-54.13,28.2
0,5205280,10,7,18.0,30.6,-54.1,25.0
2418,8815309,4,25,18.0,30.8,-54.1,22.0
481,1851487,6,26,19.0,52.3,-54.1,22.433333333333334
7150,2105707,12,4,5.0,14.73,-53.96,28.2
4785,10805404,1,25,6.33,39.5,-53.96,17.1
9759,18233582,5,7,6.88,-40.68,-53.95,14.1
4508,14538259,1,16,3.5,37.18,-53.93,19.7
1979,17786682,10,24,4.0,35.7,-53.91,24.5
4468,14053597,12,1,1.0,47.3,-53.9,14.975
6724,7434865,12,13,11.0,47.3,-53.9,15.193750000000001
6070,12813408,7,25,12.0,66.0,-53.9,14.067187500000001
513,8250231,5,8,21.5,-58.33,-53.79,1.6
5053,1504090,11,16,14.0,-59.48,-53.75,7.815234375000001
8024,12229527,11,7,9.0,-59.39,-53.73,5.97060546875
4688,5231867,7,7,15.0,85.82,-53.45,6.01716796875
718,13718689,2,22,2.88,-61.76,-53.44,0.4
8425,11140960,2,4,5.5,-48.13,-53.44,6.547962239583334
3435,10528157,1,16,18.5,-47.63,-53.4,14.3
495,223850,11,7,10.0,46.4,-53.4,10.4
2811,12216580,1,7,1.0,59.35,-53.4,2.2
1168,14626204,11,19,4.0,15.4,-53.37,28.5
8475,7165887,6,5,21.17,14.23,-53.35,27.6
3918,6379519,10,12,18.37,35.83,-53.3,25.1
152,10201869,10,6,5.0,46.7,-53.3,21.34
3895,9571235,12,17,17.0,65.4,-53.3,16.55666666666667
4615,10563228,2,17,1.62,-62.19,-53.29,-0.3
9885,12217678,4,7,5.17,16.99,-53.28,25.8
7688,14440493,2,13,12.72,-62.41,-53.22,-0.2
2579,19337099,2,10,9.17,33.42,-53.21,19.3
2237,15458912,2,14,12.35,-62.92,-53.2,-0.4
2357,6298650,12,9,1.0,-34.3,-53.2,16.833333333333332
3407,17330105,8,10,6.67,33.46,-53.1,27.3
4375,13858336,4,26,12.0,9.1,-53.0,27.0
2479,4722262,12,22,16.83,14.5,-53.0,28.0
5704,5457453,10,14,4.83,14.5,-53.0,28.5
8040,2720037,1,22,15.0,14.5,-53.0,26.3
8727,17307212,4,9,6.0,14.5,-53.0,26.6
8048,12346149,10,11,19.47,43.89,-52.93,17.5
8745,10616431,6,19,8.0,68.7,-52.9,17.566666666666666
9767,15850740,1,26,20.33,39.27,-52.86,17.2
4835,17260876,11,8,13.3,-44.28,-52.83,11.8
4627,13800610,10,24,2.0,55.24,-52.81,6.0
7560,17891514,3,27,7.17,38.19,-52.76,18.3
353,8113624,4,4,19.83,36.71,-52.72,18.2
7821,10537744,6,16,16.0,23.9,-52.7,28.1
3694,3167970,9,5,0.0,47.3,-52.7,15.3
1014,3987272,12,30,15.0,47.6,-52.7,16.75
2376,2862538,11,27,19.0,47.6,-52.7,16.387500000000003
2787,13256213,1,8,22.0,47.6,-52.7,13.459375
3477,5253002,6,8,17.0,47.6,-52.7,5.4
3779,10131989,7,4,13.0,47.6,-52.7,11.748958333333334
4882,17417140,1,12,20.0,47.6,-52.7,9.352083333333333
7138,9255213,1,8,20.0,47.6,-52.7,11.500208333333333
8741,13567659,12,17,8.0,47.6,-52.7,14.983541666666666
4184,5228127,6,7,9.0,56.5,-52.7,6.8
2799,7938029,7,29,14.9,41.16,-52.69,24.2
2336,13812300,2,25,21.0,14.39,-52.66,26.3
2199,15391301,8,12,8.82,64.08,-52.65,6.0
6219,8908230,3,28,21.12,-61.4,-52.6,0.3
6353,8144605,2,5,0.48,-63.1,-52.49,0.5
2699,15030714,6,1,19.67,13.69,-52.47,27.5
3136,3019174,6,1,16.67,13.67,-52.45,27.4
2284,6052280,8,2,8.83,46.77,-52.39,14.4
261,12895808,10,27,7.0,45.48,-52.38,12.5
922,18012460,5,31,20.67,13.58,-52.34,27.6
6500,11982011,4,30,3.0,20.22,-52.33,25.5
2745,17265088,2,8,23.4,-62.89,-52.32,-0.3
7453,9208784,7,7,6.83,47.29,-52.32,10.1
2833,16224366,8,7,10.3,59.17,-52.25,9.3
3306,18458507,3,14,6.5,42.05,-52.2,14.0
